#DroneDeploy	4.68.0
#Flight Recorder
Session ID	61a804011591990426bf2100
Session Start	12/01/2021 23:23:45
#Device
Device Model	SM-G981U1
Device Manufacturer	samsung
Device Operating System	Android	11
#Aircraft
Aircraft Model	Mavic 2 Pro
Aircraft Name	JMM Mavic 2 Pro
Aircraft Firmware	01.00.0770
#Aircraft Battery
Full Charge Volume (mAh)	3672
Remaining Life (%)	100
Discharges	26
#Components
Battery Cells Number	3
Battery Serial Number	0P2DHA46440515
Battery Firmware	02.74.07.37
Flight Controller Serial Number	1633J6G001M031
Flight Controller Firmware	03.04.00.64
Gimbal Firmware	00.01.10.91
Remote Control Serial Number	1DUCH9UR02642V
Remote Control Firmware	01.00.0770
Camera Serial Number	0K8TFBH0021589
Camera Firmware	00.14.00.06
Date/Time (GMT)	Elapsed Time (sec)	Info	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage (mV)	Aircraft Battery Cell 2 Voltage (mV)	Aircraft Battery Cell 3 Voltage (mV)	Aircraft Battery Cell 4 Voltage (mV)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-Fly	Aircraft No-Fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home State	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal State Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Satellites	RC Horizontal Accuracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GPS Last Updated (ms)	RC Signal 1 (%)	RC Signal 2 (%)	RC Signal Last Updated (ms)	LB Signal 1 (%)	LB Signal 2 (%)	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens Type Value	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Device > Aircraft Distance - XY (ft)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Speed (mph)
12/01/2021 23:23:48	2.919		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.9613821657273	-97.2765783192946	5.249344	112.7	0.5	0.0	15.0	1	1	F-WP	14	0	1	5.249344	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5072.5093	0	IDLE	101	-89.1	0.0	2.2	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-2.4606361	0.0
12/01/2021 23:23:48	3.019		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.96138217141083	-97.27657833545017	5.577428	112.7	0.3	0.0	15.0	1	1	F-WP	14	0	1	5.905512	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5072.5093	0	IDLE	101	-89.1	0.0	1.9	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-3.3554127	0.0
12/01/2021 23:23:48	3.119		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.96138217999604	-97.27657835985586	6.233596	112.7	0.0	0.0	15.0	1	1	F-WP	14	0	1	6.233596	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5072.5093	0	IDLE	101	-89.1	0.0	1.7	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-4.026495	0.0
12/01/2021 23:23:48	3.22		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.96138219771969	-97.27657841023644	7.545932	112.7	-0.2	0.0	15.0	1	1	F-WP	14	0	1	7.8740163	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5072.5093	0	IDLE	102	-89.1	0.0	1.5	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-5.592355	0.0
12/01/2021 23:23:48	3.319		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.961382203893294	-97.27657842778383	8.530184	112.7	-0.5	0.0	15.0	1	1	F-WP	14	0	1	8.858268	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5072.5093	0	IDLE	101	-89.1	0.0	1.3	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-6.263437	0.0
12/01/2021 23:23:48	3.419		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.961382206650796	-97.27657843562423	9.514436	112.7	-0.8	0.0	15.0	1	1	F-WP	14	0	1	9.84252	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5072.5093	0	IDLE	101	-89.1	0.0	1.2	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-6.7108254	0.0
12/01/2021 23:23:48	3.519		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.96138220393961	-97.27657842791912	10.498688	112.7	-0.9	0.0	15.0	1	1	F-WP	14	0	1	10.826772	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5082.2266	0	IDLE	102	-89.1	0.0	1.1	YawFollowMode	2	0	0	0	102	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-7.158214	0.0
12/01/2021 23:23:48	3.619		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.961382194872776	-97.27657840214715	11.48294	112.7	-0.8	0.0	15.0	1	1	F-WP	14	0	1	11.811024	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5082.2266	0	IDLE	101	-89.1	0.0	1.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-7.158214	0.0
12/01/2021 23:23:48	3.719		66	2411	-1377	15968	38.8	17	3997	3992	3993	3985	32.96138218043229	-97.27657836110153	12.795276	112.7	-0.4	0.0	15.0	1	1	F-WP	14	0	1	13.12336	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5082.2266	0	IDLE	101	-89.1	0.0	0.9	YawFollowMode	2	0	0	0	98	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-7.158214	0.0
12/01/2021 23:23:48	3.819		66	2411	-1377	15968	38.8	17	3997	3992	3993	3985	32.961382162653216	-97.2765783105627	13.779527	112.7	-0.1	0.0	15.0	1	1	F-WP	14	0	1	14.107613	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5082.2266	0	IDLE	101	-89.1	0.0	0.9	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-7.158214	0.0
