#DroneDeploy	4.68.0
#Flight Recorder
Session ID	61a804011591990426bf2100
Session Start	12/01/2021 23:23:45
#Device
Device Model	SM-G981U1
Device Manufacturer	samsung
Device Operating System	Android	11
#Aircraft
Aircraft Model	Mavic 2 Pro
Aircraft Name	JMM Mavic 2 Pro
Aircraft Firmware	01.00.0770
#Aircraft Battery
Full Charge Volume (mAh)	3672
Remaining Life (%)	100
Discharges	26
#Components
Battery Cells Number	3
Battery Serial Number	0P2DHA46440515
Battery Firmware	02.74.07.37
Flight Controller Serial Number	1633J6G001M031
Flight Controller Firmware	03.04.00.64
Gimbal Firmware	00.01.10.91
Remote Control Serial Number	1DUCH9UR02642V
Remote Control Firmware	01.00.0770
Camera Serial Number	0K8TFBH0021589
Camera Firmware	00.14.00.06
Date/Time (GMT)	Elapsed Time (sec)	Info	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage (mV)	Aircraft Battery Cell 2 Voltage (mV)	Aircraft Battery Cell 3 Voltage (mV)	Aircraft Battery Cell 4 Voltage (mV)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-Fly	Aircraft No-Fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home State	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal State Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Satellites	RC Horizontal Accuracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GPS Last Updated (ms)	RC Signal 1 (%)	RC Signal 2 (%)	RC Signal Last Updated (ms)	LB Signal 1 (%)	LB Signal 2 (%)	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens Type Value	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Device > Aircraft Distance - XY (ft)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Speed (mph)
12/01/2021 23:24:24	39.119		66	2398	-1381	15949	38.8	19	3993	3988	3988	3981	32.96154548108727	-97.27663572040433	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5337.6973	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.28003767929077	0.0	0.0	0.0	0.0
12/01/2021 23:24:24	39.219		66	2398	-1381	15949	38.8	19	3993	3988	3988	3981	32.96154549290973	-97.27663572417202	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5337.6973	0	IDLE	103	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.282453124237065	0.0	0.0	0.0	0.0
12/01/2021 23:24:24	39.319		66	2398	-1381	15949	38.8	19	3993	3988	3988	3981	32.961545504338105	-97.27663572818986	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5337.6973	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.28471212844849	0.0	0.0	0.0	0.0
12/01/2021 23:24:24	39.419		66	2398	-1381	15949	38.8	19	3993	3988	3988	3981	32.96154551530387	-97.27663573235067	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5337.6973	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.28681782073975	0.0	0.0	0.0	0.0
12/01/2021 23:24:24	39.519		66	2398	-1381	15949	38.8	19	3993	3988	3988	3981	32.96154552563568	-97.27663573663908	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5337.6973	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.28872326889038	0.0	0.0	0.0	0.0
12/01/2021 23:24:24	39.619		66	2398	-1381	15949	38.8	19	3993	3988	3988	3981	32.96154553560767	-97.27663574092752	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.290534852600096	0.0	0.0	0.0	0.0
12/01/2021 23:24:24	39.719		66	2398	-1376	15949	38.8	20	3993	3988	3988	3981	32.9615455452027	-97.2766357451802	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.2922525718689	0.0	0.0	0.0	0.0
12/01/2021 23:24:24	39.819		66	2398	-1376	15949	38.8	20	3993	3988	3988	3981	32.96154555418092	-97.27663574926441	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.293835752105714	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	39.919		66	2398	-1376	15949	38.8	20	3993	3988	3988	3981	32.96154556295354	-97.27663575334861	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.29536574249268	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	40.019		66	2398	-1376	15949	38.8	20	3993	3988	3988	3981	32.96154557117786	-97.27663575723372	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	149	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.29678935317993	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	40.119		66	2398	-1376	15949	38.8	20	3994	3987	3988	3981	32.96154557917944	-97.27663576106777	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	38	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.29816290283203	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	40.219		66	2398	-1376	15949	38.8	20	3994	3987	3988	3981	32.961545586718394	-97.27663576474356	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	102	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.29944258804321	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	40.319		66	2398	-1376	15949	38.8	20	3994	3987	3988	3981	32.96154559415456	-97.27663576830706	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.3007191444397	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	40.419		66	2398	-1376	15949	38.8	20	3994	3987	3988	3981	32.96154560100816	-97.27663577177863	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.30185803298951	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	40.519		66	2398	-1376	15949	38.8	20	3994	3987	3988	3981	32.96154560786176	-97.27663577508173	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5340.739	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.30303133850098	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	40.619		66	2398	-1376	15949	38.8	20	3994	3987	3988	3981	32.96154561432128	-97.2766357783491	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	66	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.30410452194214	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	40.719		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.961545620489524	-97.27663578141737	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	87	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.305140159606935	0.0	0.0	0.0	0.0
12/01/2021 23:24:25	40.819		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.96154562665777	-97.27663578448052	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.306178926086424	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	40.919		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.96154563258613	-97.2766357873548	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.30718953323365	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	41.019		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.96154563806901	-97.27663579021375	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.30808437423706	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	41.119		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.961545643551894	-97.27663579295017	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	103	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.30900424575806	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	41.219		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.961545649034775	-97.27663579560489	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.30993976135254	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	41.319		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.96154565439772	-97.27663579825963	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.31084398880005	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	41.419		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.96154565919524	-97.27663580073569	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Auto	1	Successful	2	0	0	0	39.31163245010376	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	41.519		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.96154566399276	-97.27663580318622	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5344.75	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	146	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Manual	0	Successful	2	0	0	0	39.312427169036866	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	41.619		66	2397	-1371	15950	38.8	19	3994	3987	3988	3981	32.96154566879028	-97.27663580563674	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5347.495	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Manual	0	Successful	2	0	0	0	39.31322188796997	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	41.719		66	2397	-1371	15950	38.8	17	3994	3987	3988	3981	32.9615456735878	-97.27663580797497	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5347.495	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	54	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Manual	0	Successful	2	0	0	0	39.31403850860596	0.0	0.0	0.0	0.0
12/01/2021 23:24:26	41.819		66	2397	-1371	15950	38.8	17	3994	3987	3988	3981	32.96154567838532	-97.27663581022128	199.80316	-56.1	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5347.495	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	97	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Manual	0	Successful	2	0	0	0	39.31487390213013	0.0	0.0	0.0	0.0
12/01/2021 23:24:27	41.919		66	2397	-1371	15950	38.8	17	3994	3987	3988	3981	32.96154568292583	-97.27663581246759	199.80316	-56.2	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5347.495	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	106	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Manual	0	Successful	2	0	0	0	39.31564046173096	0.0	0.0	0.0	0.0
12/01/2021 23:24:27	42.019		66	2397	-1371	15950	38.8	17	3994	3987	3988	3981	32.96154568953956	-97.27663581878281	199.80316	-56.2	-6.2	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5347.495	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	144	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Manual	0	Successful	2	0	0	0	39.31613168563843	0.0	0.0	0.0	0.0
12/01/2021 23:24:27	42.119		66	2397	-1371	15950	38.8	17	3993	3987	3988	3981	32.96154573439638	-97.27663589325843	199.80316	-56.1	-14.8	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5347.495	0	IDLE	102	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Manual	0	Successful	2	0	0	0	39.31298096923828	0.0	-0.22369419	0.0	0.22369419
12/01/2021 23:24:27	42.219		66	2397	-1371	15950	38.8	17	3993	3987	3988	3981	32.961545889133575	-97.27663616363841	199.80316	-56.1	-20.1	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1294	1294	34	15	N/A	5347.495	0	IDLE	101	-89.1	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Manual	0	Successful	2	0	0	0	39.29950829315186	0.44738838	-0.67108256	0.0	0.80654085
